                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                  31.66,                      0,                      0,                      0,                      0,                      0,                      0,                  24.75,                      0,                      0,                      0,                      0
                      2,                      0,                 31.643,                      0,                      0,                      0,                      0,                      0,                      0,                 24.773,                      0,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                      0,                 31.612,                      0,                      0,                      0,                      0,                      0,                      0,                 24.797,                      0,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                      0,                 31.479,                      0,                      0,                      0,                      0,                      0,                      0,                 24.824,                      0,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                      0,                 31.378,                      0,                      0,                      0,                      0,                      0,                      0,                  24.85,                      0,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                      0,                 31.187,                      0,                      0,                      0,                      0,                      0,                      0,                 24.866,                      0,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                      0,                  30.97,                      0,                      0,                      0,                      0,                      0,                      0,                 24.877,                      0,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                      0,                 30.835,                      0,                      0,                      0,                      0,                      0,                      0,                 24.881,                      0,              0.0001086,              0.0001086,              0.0001086
                      9,                      0,                 30.644,                      0,                      0,                      0,                      0,                      0,                      0,                 24.885,                      0,              0.0001228,              0.0001228,              0.0001228
                     10,                      0,                  30.48,                      0,                      0,                      0,                      0,                      0,                      0,                 24.885,                      0,             0.00013666,             0.00013666,             0.00013666
                     11,                      0,                 30.292,                      0,                      0,                      0,                      0,                      0,                      0,                 24.884,                      0,              0.0001502,              0.0001502,              0.0001502
                     12,                      0,                 30.077,                      0,                      0,                      0,                      0,                      0,                      0,                 24.883,                      0,              0.0001634,              0.0001634,              0.0001634
                     13,                      0,                 29.836,                      0,                      0,                      0,                      0,                      0,                      0,                 24.891,                      0,             0.00017628,             0.00017628,             0.00017628
                     14,                      0,                  29.57,                      0,                      0,                      0,                      0,                      0,                      0,                 24.924,                      0,             0.00018882,             0.00018882,             0.00018882
                     15,                      0,                 29.173,                      0,                      0,                      0,                      0,                      0,                      0,                 24.974,                      0,             0.00020103,             0.00020103,             0.00020103
                     16,                      0,                 29.024,                      0,                      0,                      0,                      0,                      0,                      0,                 25.079,                      0,             0.00021292,             0.00021292,             0.00021292
                     17,                      0,                 28.447,                      0,                      0,                      0,                      0,                      0,                      0,                 25.323,                      0,             0.00022447,             0.00022447,             0.00022447
                     18,                      0,                 28.143,                      0,                      0,                      0,                      0,                      0,                      0,                 25.323,                      0,              0.0002357,              0.0002357,              0.0002357
                     19,                      0,                 28.183,                      0,                      0,                      0,                      0,                      0,                      0,                 25.823,                      0,             0.00024659,             0.00024659,             0.00024659
                     20,                      0,                  27.69,                      0,                      0,                      0,                      0,                      0,                      0,                 25.823,                      0,             0.00025715,             0.00025715,             0.00025715
                     21,                      0,                 27.531,                      0,                      0,                      0,                      0,                      0,                      0,                 26.675,                      0,             0.00026739,             0.00026739,             0.00026739
